GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
346665430,Connect4,4,GAME_OVER,9,0,2,2,2,MCTSPlayer,2,1,1,Random,MCTSPlayer,-1.0,1.0,Random,Random,MCTSPlayer,0
879079583,Connect4,3,GAME_OVER,7,0,2,3,2,MCTSPlayer,2,1,1,Random,MCTSPlayer,-1.0,1.0,Random,Random,MCTSPlayer,0
-619666105,Connect4,3,GAME_OVER,7,0,2,4,2,MCTSPlayer,2,1,1,Random,MCTSPlayer,-1.0,1.0,Random,Random,MCTSPlayer,0
503938916,Connect4,3,GAME_OVER,7,0,2,5,2,MCTSPlayer,2,1,1,Random,MCTSPlayer,-1.0,1.0,Random,Random,MCTSPlayer,0
-428737539,Connect4,3,GAME_OVER,7,0,2,6,2,MCTSPlayer,2,1,1,Random,MCTSPlayer,-1.0,1.0,Random,Random,MCTSPlayer,0
346665430,Connect4,3,GAME_OVER,7,0,2,7,2,MCTSPlayer,2,1,1,RMHC,MCTSPlayer,-1.0,1.0,RMHC,RMHC,MCTSPlayer,0
879079583,Connect4,3,GAME_OVER,7,0,2,8,2,MCTSPlayer,2,1,1,RMHC,MCTSPlayer,-1.0,1.0,RMHC,RMHC,MCTSPlayer,0
-619666105,Connect4,3,GAME_OVER,7,0,2,9,2,MCTSPlayer,2,1,1,RMHC,MCTSPlayer,-1.0,1.0,RMHC,RMHC,MCTSPlayer,0
503938916,Connect4,4,GAME_OVER,9,0,2,10,2,MCTSPlayer,2,1,1,RMHC,MCTSPlayer,-1.0,1.0,RMHC,RMHC,MCTSPlayer,0
-428737539,Connect4,5,GAME_OVER,11,0,2,11,2,MCTSPlayer,2,1,1,RMHC,MCTSPlayer,-1.0,1.0,RMHC,RMHC,MCTSPlayer,0
346665430,Connect4,3,GAME_OVER,7,0,2,12,2,MCTSPlayer,2,1,1,OSLA,MCTSPlayer,-1.0,1.0,OSLA,OSLA,MCTSPlayer,0
879079583,Connect4,3,GAME_OVER,7,0,2,13,2,MCTSPlayer,2,1,1,OSLA,MCTSPlayer,-1.0,1.0,OSLA,OSLA,MCTSPlayer,0
-619666105,Connect4,5,GAME_OVER,11,0,2,14,2,MCTSPlayer,2,1,1,OSLA,MCTSPlayer,-1.0,1.0,OSLA,OSLA,MCTSPlayer,0
503938916,Connect4,3,GAME_OVER,7,0,2,15,2,MCTSPlayer,2,1,1,OSLA,MCTSPlayer,-1.0,1.0,OSLA,OSLA,MCTSPlayer,0
-428737539,Connect4,3,GAME_OVER,7,0,2,16,2,MCTSPlayer,2,1,1,OSLA,MCTSPlayer,-1.0,1.0,OSLA,OSLA,MCTSPlayer,0
346665430,Connect4,4,GAME_OVER,10,1,2,17,1,Random,1,2,2,MCTSPlayer,Random,1.0,-1.0,MCTSPlayer,MCTSPlayer,Random,1
879079583,Connect4,3,GAME_OVER,8,1,2,18,1,Random,1,2,2,MCTSPlayer,Random,1.0,-1.0,MCTSPlayer,MCTSPlayer,Random,1
-619666105,Connect4,5,GAME_OVER,12,1,2,19,1,Random,1,2,2,MCTSPlayer,Random,1.0,-1.0,MCTSPlayer,MCTSPlayer,Random,1
503938916,Connect4,3,GAME_OVER,8,1,2,20,1,Random,1,2,2,MCTSPlayer,Random,1.0,-1.0,MCTSPlayer,MCTSPlayer,Random,1
